ID,AGE,BMI,PREVENTIX,LBC,HPV.PCR,COLP,HISTOPATH,p16,LBC.DX,LBC.OFIND,HPV.PCR.GENOTYPE,COLP.DX,COLP.PERF,COLP.CVXCN,COLP.TZ,COLP.AWA,COLP.AWA.SURF,COLP.AWA.BOR,COLP.SCHIL,COLP.OFIND,COLP.CELLATR,COLP.INFCELCHAN,BIOPSIED,HISTOPATH.DX,SMOKE,SMOKE.QTY.WEEK,MENARCH,AGE.SEX.DEBUT,YEARS.SINCE.MENAR.TO.SEXDEBUT,NO.SEX.PARTN,YEAR.OF.LAST.CITOL,YEARS.SINCE.LAST.CITOL,YEAR.OF.LAST.COLP,YEARS.SINCE.LAST.COLP,CONTRACEP.METH,ABORT.TYPE,ABORT.NUM,VAG.DEL,C.SECTION,AREA.TYPE,TOWN.POV.LEVEL
,,,,,,,,,,,,,,,,,,,,,,,,atrophy,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,vain-1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,polyp,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,mature squamous metaplasia,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,immature squamous metaplasia,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,acute inflammation,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,chronic inflammation,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,mild inflammation,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,moderate inflammation,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,severe inflammation,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,vasodilatation,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,vasocongestion,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,microglandular hyperplasia,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,mesonephric hyperplasia,,,,,,,,,,,,,,,,,
